Sort,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
427,,Silicate 05-2,988,7,3,122,175,36,-139,Level A
428,,Faeriedragon 03,822,1,1,19,171,32,-139,Level B
429,,mcgrail 06,935,22,1.5,194,166,27,-139,Level A
430,,milamores 05-2,1051,2,1,26,162,23,-139,Level A
431,,daChodeMan 06,883,1,0,27,173,33,-140,Level A
432,,Linckar 07,1036,2,1,49,173,33,-140,Level A
433,,mcco 05-1,1018,1,1,6,173,33,-140,Level A
434,,gottago 06,1136,4,4,92,165,25,-140,Level A
435,,JWest 02,916,1,1,8,204,63,-141,Level A
436,,znode 05-2,1000,1,1,13,180,39,-141,Level A
437,,Malca 07,1047,13,10,192,176,34,-142,Level B
438,,leffub 04,901,2,2,23,172,30,-142,Level A
439,,sdormeus 07,1085,1,1,14,171,29,-142,Level A
440,,CausalClosure 07,1033,6,3,87,176,33,-143,Level A
441,,Saldeeznuts 06,937,1,1,15,170,27,-143,Level A
442,,kassab 07,1026,1,1,22,166,23,-143,Level A
443,,phillymaintman 07,1139,1,1,13,166,23,-143,Level A
444,,Panzerkampfwagon 06,912,1,1,14,187,43,-144,Level A
445,,clickoo 05-2,862,2,0,31,183,39,-144,Level B
446,,JuliusG 06,927,6,4,84,171,27,-144,Level A
447,,dldnjstjq 05-1,939,1,0,12,169,25,-144,Level A
448,,noogit 05-2,1007,3,3,60,169,25,-144,Level A
449,,CashCow 04,831,1,0,9,155,11,-144,Level A
